client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891373.mp3	3a5c292cce3edfbf783bb251367128e98c00761a63390321e05b29f6debc93d5	sẽ tốt cho mình		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891374.mp3	30f853027335f371dde9837e9b1c3f0105e96fc402c3c75aa0426822e5449624	Nó cứ nhìn chằm chằm vào đó		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891375.mp3	11f5152546b8a834c6cf19ecc60f242ee1ad596095a82fa640ec3b2e6a757aa6	Phụ nữ mà uống nhiều cà phê là không có tốt cho da		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891376.mp3	275ebdc05077869ddf0a4cb8de24b60b69e59ac7c1bc772d2243e8d595bedfd7	Bảo rằng hoa dáng như tim vỡ		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891377.mp3	35092c29bf0c28362febf7fd56f2d78bd76ebf10b57e924906059cf04b94d732	Tốn rất nhiều công sức cũng như là tiền bạc đấy		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891378.mp3	1e8418a53ad7a4ac499d94892e247590ec2affd50334fd7204e27d2a030e4a89	lúc đi qua ngã ba		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891379.mp3	33f54e9a4122f68884cb6445ead1b34024b8346e4477928b0664d81a0a045389	Vài người nữa cũng đổ xô chạy đến		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891380.mp3	1d0617fca6ccff2b7de7c6f598153a1bc4bf605ec3054f6ba7f985d4a13811bd	Cũng hết thời gian cho kuman ăn		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891381.mp3	00af524e69e88731d358004bdd533fa4119c1c5310352f8c8b259a1e09625d78	Nếu một mình ông ta mà chống chọi với con cương thi này		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891382.mp3	00a09bebdfb843260fef1ef8126259c87d6285e0e565bd25fecdd315ef37d902	Trên đầu còn có một tấm bia		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891383.mp3	31e4f111b2293adc52fcdb73cfb8d55c9f80642dbca3fbc318ce97b620e97b53	Hội gì vậy		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891384.mp3	398890f0a668045d2ee5470c777cfdeb630d8870e017174c95de12ce7a4c1a1e	Từ trên bước xuống một người lớn tuổi		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891385.mp3	17d5c218dfa2954362a0dadeee5fe47d70feaa6a459c337f3a03e2f28ba56c99	Tôi muốn mùi thơm của nước hoa		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891386.mp3	0147915bcd1ae655b7bcfbc04b35f3880516d7b84323b7380fc981cdb7a8506b	Lại nghe được tiếng gọi		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891387.mp3	0209b01424b0b83ccfba70374daee98e0b782931cc91207a3916c68c7ad480db	Sau khi chú long khấn vái gì đó để gọi hồn về		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891388.mp3	13c7d45e91ab6db45e72a7b41fd1a63e263539922be32f8da94ca4c2f40ad0a2	Nó bắt hồn anh chàng ấy định biến anh ta thành một cặp đôi		0	0					vi	
162c776ae835ffadd3c363c1c8c5306093510f8171e7284ab74b82a6030c21e5c299a839744746d78901d8504e4715aa737013a55fb48fbdeffefbbe50335a00	common_voice_vi_40891389.mp3	fb3b01dc1a803296e637a13905866f00b986b26a58f5b5d1d65ac5584ae49036	cho nên hiện tượng này cũng không có gì lạ		0	0					vi	
